period,zodiac
2024001,6
2024002,2
2024003,7
2024004,4
2024005,7
2024006,11
2024007,7
2024008,8
2024009,6
2024010,12
2024011,7
2024012,10
2024013,6
2024014,8
2024015,3
2024016,5
2024017,11
2024018,11
2024019,5
2024020,5
2024021,11
2024022,5
2024023,8
2024024,1
2024025,8
2024026,6
2024027,4
2024028,9
2024029,4
2024030,3
2024031,7
2024032,4
2024033,6
2024034,11
2024035,8
2024036,5
2024037,10
2024038,6
2024039,7
2024040,4
2024041,5
2024042,3
2024043,6
2024044,2
2024045,4
2024046,2
2024047,9
2024048,6
2024049,11
2024050,3
2024051,12
2024052,9
2024053,1
2024054,9
2024055,7
2024056,11
2024057,10
2024058,11
2024059,6
2024060,8
2024061,9
2024062,1
2024063,7
2024064,10
2024065,4
2024066,6
2024067,10
2024068,8
2024069,8
2024070,6
2024071,3
2024072,7
2024073,10
2024074,4
2024075,4
2024076,5
2024077,8
2024078,5
2024079,8
2024080,2
2024081,1
2024082,10
2024083,10
2024084,5
2024085,11
2024086,11
2024087,6
2024088,1
2024089,1
2024090,9
2024091,10
2024092,12
2024093,5
2024094,9
2024095,12
2024096,5
2024097,10
2024098,10
2024099,4
2024100,5
2024101,9
2024102,7
2024103,5
2024104,11
2024105,1
2024106,4
2024107,10
2024108,10
2024109,7
2024110,12
2024111,7
2024112,7
2024113,12
2024114,6
2024115,5
2024116,10
2024117,1
2024118,9
2024119,8
2024120,5
2024121,2
2024122,12
2024123,9
2024124,10
2024125,12
2024126,7
2024127,12
2024128,2
2024129,1
2024130,5
2024131,4
2024132,1
2024133,7
2024134,7
2024135,10
2024136,8
2024137,4
2024138,2
2024139,2
2024140,11
2024141,7
2024142,3
2024143,12
2024144,4
2024145,2
2024146,7
2024147,2
2024148,3
2024149,10
2024150,9
2024151,12
2024152,9
2024153,8
2024154,10
2024155,8
2024156,6
2024157,9
2024158,8
2024159,7
2024160,3
2024161,11
2024162,1
2024163,4
2024164,8
2024165,3
2024166,8
2024167,2
2024168,2
2024169,9
2024170,10
2024171,4
2024172,8
2024173,1
2024174,12
2024175,4
2024176,3
2024177,11
2024178,8
2024179,1
2024180,2
2024181,3
2024182,3
2024183,1
2024184,6
2024185,6
2024186,5
2024187,3
2024188,10
2024189,7
2024190,5
2024191,3
2024192,7
2024193,4
2024194,5
2024195,9
2024196,3
2024197,10
2024198,4
2024199,3
2024200,7
2024201,1
2024202,7
2024203,9
2024204,5
2024205,4
2024206,2
2024207,6
2024208,4
2024209,9
2024210,7
2024211,8
2024212,1
2024213,2
2024214,6
2024215,8
2024216,3
2024217,3
2024218,1
2024219,2
2024220,9
2024221,1
2024222,7
2024223,6
2024224,10
2024225,5
2024226,10
2024227,8
2024228,1
2024229,5
2024230,1
2024231,5
2024232,2
2024233,11
2024234,7
2024235,12
2024236,3
2024237,6
2024238,6
2024239,7
2024240,12
2024241,4
2024242,6
2024243,1
2024244,3
2024245,5
2024246,3
2024247,7
2024248,11
2024249,8
2024250,12
2024251,2
2024252,12
2024253,11
2024254,3
2024255,6
2024256,3
2024257,8
2024258,4
2024259,5
2024260,4
2024261,1
2024262,8
2024263,1
2024264,6
2024265,4
2024266,3
2024267,12
2024268,10
2024269,11
2024270,6
2024271,4
2024272,6
2024273,5
2024274,1
2024275,5
2024276,5
2024277,2
2024278,7
2024279,4
2024280,10
2024281,7
2024282,1
2024283,11
2024284,3
2024285,9
2024286,9
2024287,4
2024288,2
2024289,4
2024290,11
2024291,2
2024292,8
2024293,6
2024294,12
2024295,12
